dart_id,is_many_round,is_long,vote_count,dimension,label
17,False,True,2,argument,1.0
17,False,True,2,source,1.0
17,False,True,2,language,1.0
20,False,False,7,argument,1.0
20,False,False,7,source,1.0
20,False,False,7,language,1.0
130,False,False,2,argument,0.0
130,False,False,2,source,0.5
130,False,False,2,language,0.5
204,True,True,3,argument,1.0
204,True,True,3,source,0.5
204,True,True,3,language,0.5
244,True,True,2,argument,1.0
244,True,True,2,source,0.5
244,True,True,2,language,1.0
290,False,False,5,argument,0.0
290,False,False,5,source,0.0
290,False,False,5,language,0.5
309,True,True,5,argument,1.0
309,True,True,5,source,0.5
309,True,True,5,language,1.0
386,True,True,4,argument,0.5
386,True,True,4,source,0.0
386,True,True,4,language,1.0
466,True,True,3,argument,1.0
466,True,True,3,source,0.5
466,True,True,3,language,1.0
495,False,False,1,argument,1.0
495,False,False,1,source,0.5
495,False,False,1,language,0.5
537,True,True,2,argument,1.0
537,True,True,2,source,1.0
537,True,True,2,language,0.5
566,False,False,2,argument,1.0
566,False,False,2,source,1.0
566,False,False,2,language,1.0
569,False,True,1,argument,1.0
569,False,True,1,source,0.5
569,False,True,1,language,1.0
570,False,False,1,argument,1.0
570,False,False,1,source,0.5
570,False,False,1,language,0.5
578,False,False,1,argument,1.0
578,False,False,1,source,0.5
578,False,False,1,language,1.0
600,False,False,2,argument,1.0
600,False,False,2,source,0.0
600,False,False,2,language,0.5
601,False,False,1,argument,1.0
601,False,False,1,source,0.5
601,False,False,1,language,0.5
616,False,False,1,argument,0.5
616,False,False,1,source,0.5
616,False,False,1,language,0.5
654,True,True,3,argument,0.0
654,True,True,3,source,0.0
654,True,True,3,language,0.5
678,True,True,1,argument,1.0
678,True,True,1,source,0.5
678,True,True,1,language,0.5
679,True,True,3,argument,0.0
679,True,True,3,source,0.0
679,True,True,3,language,0.5
684,False,True,3,argument,0.0
684,False,True,3,source,0.5
684,False,True,3,language,0.5
716,True,True,2,argument,1.0
716,True,True,2,source,0.5
716,True,True,2,language,0.5
731,True,True,2,argument,1.0
731,True,True,2,source,1.0
731,True,True,2,language,0.5
734,False,True,2,argument,0.0
734,False,True,2,source,0.5
734,False,True,2,language,0.5
737,False,False,2,argument,0.5
737,False,False,2,source,0.5
737,False,False,2,language,1.0
750,False,False,5,argument,0.0
750,False,False,5,source,0.5
750,False,False,5,language,0.5
